candidate_id,institution,degree,degree_level,field,graduation_year,gpa,location,honors,institution_status
39fb62eab66a5034,University of Hong Kong Hong Kong,,,,,,,,verified
39fb62eab66a5034,,Master of Science in Financial Technology Sept.2021 - Jul.2023,masters,,2023,,,,missing
39fb62eab66a5034,University of Hong Kong Hong Kong,,,,,,,,verified
39fb62eab66a5034,,Bachelor of Business Administration (Finance) Sept.2017 - Jul.2021,bachelors,,2021,,,,missing
31b604248140fd1b,"MIT SLOAN SCHOOL OF MANAGEMENT Cambridge, MA, United States",,,,,,,,verified
31b604248140fd1b,,Master of business administration (MBA) August/2019 - May/2021,mba,,2021,,,,missing
31b604248140fd1b,,BS in Economics 2013 - 2016,bachelors,,2016,,,,missing
6af5686564dbbb2a,"Harvard University Cambridge, MA",,,,,,,,verified
6af5686564dbbb2a,,"Bachelor of Arts in Economics, Secondary in Molecular Biology Class of 2013",bachelors,,2013,,,,missing
6af5686564dbbb2a,"Stanford University Summer Program: Healthcare Innovation, Biotechnology Commercialization",,,,,,,,verified
3e9b46a397616de2,"University of Michigan, Ross School of Business- Ann Arbor, MI May 2017",,,,2017,,,,verified
3e9b46a397616de2,,Bachelor of Science in Business GPA: 3.5/4.0,bachelors,,,3.5/4.0,,,missing
7ee7c4909d5aa2dc,Diplôme d'Ingénieur - INSA Lyon France,Diplôme d'Ingénieur - INSA Lyon France,masters,,,,,,verified
7ee7c4909d5aa2dc,Master's degree - Universite Lyon France,Master's degree - Universite Lyon France,masters,,,,,,verified
2fe654610aa00d06,Mumbai Institute of Management Studies (MIMS),MBA- Finance,mba,,2011,,,,verified
2fe654610aa00d06,University of Pune,MCOM,masters,,2013,,,,verified
2fe654610aa00d06,Thakur College of Commerce,B.M.S,masters,,2007,,,,verified
2fe654610aa00d06,Jai Hind College,HSC,secondary,,2004,,,,verified
2fe654610aa00d06,Modern High School and Junior College,SSC,secondary,,2002,,,,verified
c0a2c9e2c03785e7,"Columbia Business School, Columbia University New York, NY",,,,,,,,verified
c0a2c9e2c03785e7,,"Bachelor of Science in Business: Concentration in Finance and International Business, Minor in Statistics",bachelors,,,,,,missing
8d634b54d8648e8e,Northwestern University - Kellogg School of Management,"Evanston, IL Graduated May 2014 Bachelor of Science in Business Administration",bachelors,,2014,,,,verified
8d634b54d8648e8e,Northwestern University - Kellogg School of Management,,,,2014,,,,verified
8d634b54d8648e8e,"CFA® Charterholder, CFA Institute: Issued March 2019",,,,2019,,,,verified
3fab70b8478323b4,"Responsibilities and Achievements: Contributing member of team developing AI-based drug target identification system for precision medicine applications Others: 8 months of research experience at Mumbai Cancer Research Institute (MCRI) as a Research Associate Co-author in research paper entitled ""Machine Learning Applications in Biomarker Discovery for Targeted Cancer Therapy"" published in Journal of Computational Biology and Bioinformatics (ISSN:2456-7891)",,,,,,,,verified
3fab70b8478323b4,,Viktor Sharat-MBAPROFESSIONAL EXPERIENCE Viktor Sharat-MBAPROFESSIONAL EXPERIENCE KEY PROJECTS,,,,,,,missing
3fab70b8478323b4,Represented Mumbai Institute of Management in 6-member team at CFA Institute Research Challenge India Finals,,,,,,,,verified
3fab70b8478323b4,Institute / School,,,,,,,,verified
3fab70b8478323b4,Mumbai Institute of Management Studies and Research,PGDM,mba,,2015,2.5/4,,,verified
3fab70b8478323b4,"Padmashree Dr.D.Y.Patil Institute of Biotechnology and Bioinformatics, Navi Mumbai",M.Tech(Integrated),masters,,2010,68%,,,verified
3fab70b8478323b4,"Bharti Vidyapeeth junior college, Navi Mumbai",HSC,secondary,,2006,72%,,,verified
3fab70b8478323b4,"Don Bosco High School, Navi Mumbai",SSC,secondary,,2004,73%,,,verified
c3b30be3fbf03368,Institute,,,,,,,,verified
c3b30be3fbf03368,"Indian School of Business Management (ISBM), Pune",PGDM (Finance),mba,,2012,7.2/1,,,verified
c3b30be3fbf03368,"K.J. Somaiya Medical College, Mumbai",M.B.B.S,professional,,2010,63.87%,,,verified
c3b30be3fbf03368,"Mithibai College, Mumbai",XII Std.(PCMB),secondary,,2004,89.00%,,,verified
c3b30be3fbf03368,"St. Xavier's High School, Mumbai",X Std.,secondary,,2002,90.43%,,,verified
