candidate_id,seq,employer_raw,employer_canonical,employer_tier,title,seniority_level,location,start,end,start_status,end_status,duration_months,is_current,is_internship,n_highlights,evidence_page,evidence_char_start
39fb62eab66a5034,0,Bank of China,Bank of China,Regional Broker / Other,Investment Analyst,3,Hong Kong,2021-06,2023-09,verified,verified,27,False,False,4,,445
39fb62eab66a5034,1,Chinese University of Hong Kong,Chinese University OF Hong Kong,Unknown,Research Assistant (Economics Area),3,Hong Kong,2019-03,2021-03,verified,verified,24,False,False,2,,1851
39fb62eab66a5034,2,Meridian Asia Capital,Meridian Asia,Unknown,Finance Market Department Intern (Chinese Bond and Equity Market),1,"Jiangxi, China",2019-07,2019-08,verified,verified,1,False,True,2,,2467
39fb62eab66a5034,3,Fujia Aid Teaching Society,Fujia AID Teaching Society,Unknown,Vice President & Head of Public Relations Team,7,Hong Kong,2019-09,2020-06,verified,verified,9,False,False,2,,2884
39fb62eab66a5034,4,Bank of China,Bank of China,Regional Broker / Other,Investment Intern,1,Hong Kong,2019-12,2021-05,verified,verified,17,False,True,2,,445
39fb62eab66a5034,5,University Swimming Club,University Swimming Club,Unknown,Head of Promotion Team,7,Hong Kong,2018-09,2019-09,verified,verified,12,False,False,2,,3338
31b604248140fd1b,0,Vanguard Group,Vanguard,Long-Only / Asset Mgmt,Equity Research Analyst,4,"Boston, USA / London, United Kingdom",2021-08,present,verified,verified,60,True,False,1,,443
31b604248140fd1b,1,Vanguard Group,Vanguard,Long-Only / Asset Mgmt,Equity Research Summer Analyst,1,"Boston, USA / London, United Kingdom",2020-06,2020-08,verified,verified,2,False,True,1,,443
31b604248140fd1b,2,MIT Sloan School of Management,MIT Sloan School OF,Unknown,Investment Management Club Co-President,3,"Cambridge, MA, United States",2019-08,2021-05,verified,verified,21,False,False,0,,81
31b604248140fd1b,3,MIT Sloan School of Management,MIT Sloan School OF,Unknown,Latin America Conference 2020 organizer,3,"Cambridge, MA, United States",2019-08,2021-05,verified,verified,21,False,False,0,,81
31b604248140fd1b,4,Bain & Company,Bain & Company,MBB Consulting,Business Analyst,3,"Sao Paulo, Brazil",2016,2019,verified,verified,36,False,False,10,,1024
